,code,name,p_change,price,change,open,high,low,preprice,pe,volratio,turnover,range,volume,selling,buying,amount,totals,industry,area,floats,fvalues,abvalues,avgprice,strength,activity,avgturnover,attack,interval3,interval6
0,300022,吉峰农机,10.14,4.02,0.37,4.02,4.02,4.02,3.65,816.19,1.25,1.69,0.0,54397.0,48602.0,5795.0,21867642.0,3.8,农用机械,四川,3.21,12.91,15.29,4.02,9.58,699.0,0.0024,0.0,-16.25,-37.09
1,002175,东方网络,10.09,3.82,0.35,3.5,3.82,3.42,3.47,0.0,1.02,3.21,11.53,170191.0,93757.0,76434.0,62079500.0,7.54,电器仪表,广西,5.29,20.23,28.79,3.65,9.53,2082.0,0.0015,11.7,-40.68,-53.13
2,600099,林海股份,10.07,6.56,0.6,5.96,6.56,5.96,5.96,10824.0,4.56,5.29,10.07,115948.0,87419.0,28528.0,75438672.0,2.19,摩托车,江苏,2.19,14.37,14.37,6.51,9.58,714.0,0.0074,10.07,-25.28,-32.65
3,601038,一拖股份,10.06,5.69,0.52,5.68,5.69,5.68,5.17,29.25,1.76,1.04,0.19,61737.0,57348.0,4388.0,35122680.0,9.86,农用机械,河南,5.94,33.79,33.79,5.69,9.57,773.0,0.0013,0.18,-16.81,-32.66
4,300038,梅泰诺,10.03,10.86,0.99,10.55,10.86,10.51,9.87,26.6,0.68,3.17,3.55,129820.0,75365.0,54455.0,139698864.0,11.72,通信设备,北京,4.1,44.53,127.26,10.76,9.48,1319.0,0.0024,3.33,-37.23,-37.23
5,300540,深冷股份,10.03,16.57,1.51,14.87,16.57,14.87,15.06,0.0,1.14,12.6,11.29,80668.0,46638.0,34029.0,129046224.0,1.24,专用机械,四川,0.64,10.61,20.61,16.0,9.47,1631.0,0.0077,11.43,5.47,0.67
6,603897,长城科技,10.02,34.71,3.16,31.59,34.71,31.59,31.55,37.05,0.94,12.13,9.89,54112.0,33412.0,20699.0,180558880.0,1.78,电气设备,浙江,0.45,15.48,61.92,33.37,9.53,2267.0,0.0054,9.88,36.49,36.49
7,000713,丰乐种业,10.02,7.14,0.65,6.54,7.14,6.27,6.49,34.49,2.02,10.13,13.41,302809.0,164758.0,138050.0,204778352.0,2.99,种植业,安徽,2.99,21.34,21.34,6.76,9.46,2807.0,0.0036,13.88,-3.64,2.15
8,603398,邦宝益智,10.01,18.24,1.66,16.5,18.24,16.13,16.58,144.4,0.75,21.08,12.73,111292.0,50545.0,60747.0,195441120.0,2.12,文教休闲,广东,0.53,9.63,38.76,17.56,9.52,2730.0,0.0077,13.08,37.14,11.42
9,603693,江苏新能,10.01,17.26,1.57,17.26,17.26,17.26,15.69,25.79,4.5,0.27,0.0,3237.0,3014.0,222.0,5586389.0,6.18,新型电力,江苏,1.18,20.37,106.67,17.26,9.52,342.0,0.0008,0.0,59.81,59.81
10,300747,锐科激光,10.0,129.43,11.77,129.43,129.43,129.43,117.66,36.75,4.52,1.36,0.0,4338.0,3808.0,529.0,56143500.0,1.28,元器件,湖北,0.32,41.42,165.67,129.43,9.45,614.0,0.0022,0.0,183.03,183.03
11,603895,天永智能,10.0,36.3,3.3,36.3,36.3,33.5,33.0,80.92,3.56,44.86,8.48,121214.0,70732.0,50481.0,433206016.0,1.08,专用机械,上海,0.27,9.81,39.23,35.74,9.51,1944.0,0.0231,8.36,-2.24,133.59
12,300743,天地数码,10.0,72.71,6.61,67.8,72.71,67.77,66.1,108.69,1.24,42.42,7.47,69991.0,45116.0,24875.0,503628448.0,0.65,电脑设备,浙江,0.17,12.0,47.58,71.96,9.45,1567.0,0.0271,7.29,274.79,274.79
