,Unnamed: 0,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
249,249,603385,惠达卫浴,1.575,10.32,10.18,10.45,10.11,10.16,2047278.0,0.7762899999999999,21085327.0,12.140999999999998,0.965,381217.130208,272166.188664
279,279,603323,吴江银行,-1.015,5.85,5.93,5.95,5.73,5.91,6931896.0,1.1421299999999999,40681785.0,11.7,0.988,847129.33071,355052.851335
359,359,603123,翠微股份,1.045,5.8,5.76,5.87,5.67,5.74,883717.0,0.1686,5111662.0,20.714000000000002,0.993,304003.64876,304003.64876
360,360,603118,共进股份,1.7309999999999999,5.29,5.24,5.36,5.09,5.2,4634240.0,0.5974,24233568.0,40.692,0.952,413581.188768,410362.93262800004
433,433,603003,龙宇燃油,-0.49200000000000005,8.09,8.1,8.24,7.95,8.13,1805019.0,0.4092,14601088.0,60.463,0.878,356861.708973,356861.708973
438,438,601998,中信银行,-0.8640000000000001,5.74,5.77,5.8,5.62,5.79,22649281.0,0.07099000000000001,129509835.0,6.832999999999999,0.755,28088573.232902,18313564.168718
441,441,601992,金隅集团,5.178,3.25,3.14,3.32,3.13,3.09,55437477.0,0.6805899999999999,178526235.0,12.037,0.85,3470275.61855,2647280.6815
445,445,601988,中国银行,0.5589999999999999,3.6,3.58,3.63,3.56,3.58,93056432.0,0.04415,334260257.0,6.428999999999999,0.755,105979604.84676,75875585.34456
454,454,601939,建设银行,0.78,6.46,6.4,6.53,6.35,6.41,97361163.0,1.01485,627116571.0,6.729,0.91,161507091.45596,6197502.813476
464,464,601898,中煤能源,-0.21899999999999997,4.55,4.57,4.61,4.4,4.56,9977320.0,0.10902,45273715.0,25.278000000000002,0.665,6032691.847,4164160.182
479,479,601818,光大银行,0.0,3.58,3.57,3.6,3.52,3.58,65121892.0,0.16358,232156066.0,5.593999999999999,0.6809999999999999,18791139.326568,14252152.017568
485,485,601798,*ST蓝科,1.81,4.5,4.43,4.53,4.3,4.42,1594354.0,0.4497100000000001,7052794.0,-18.293,0.9279999999999999,159537.6891,159537.6891
487,487,601788,XD光大证,1.248,10.55,10.47,10.72,10.34,10.42,7172706.0,0.1836,75498492.0,16.127,0.983,4864380.959144999,4121567.275145
488,488,601777,力帆股份,-0.599,4.98,5.01,5.07,4.86,5.01,5443781.0,0.4402100000000001,27130962.0,35.571,0.8959999999999999,650806.010742,615843.422742
491,491,601718,际华集团,0.773,3.91,3.88,3.95,3.82,3.88,9036436.0,0.20576000000000005,35281547.0,21.721999999999998,0.905,1717127.096964,1717127.096964
492,492,601717,郑煤机,1.4809999999999999,5.48,5.41,5.54,5.3,5.4,8856406.0,0.59714,48427673.0,32.814,0.867,949394.31076,812752.7296119999
500,500,601668,中国建筑,-0.39299999999999996,5.07,5.06,5.12,5.01,5.09,62932401.0,0.15119000000000002,318890947.0,4.738,0.742,21286483.448685,21103563.014507998
501,501,601666,平煤股份,-0.758,3.93,3.95,4.0,3.83,3.96,15663448.0,0.6633800000000001,61454353.0,6.739,0.757,927937.837926,927937.837926
506,506,601618,中国中冶,-0.9490000000000001,3.13,3.16,3.17,3.05,3.16,21954170.0,0.12297,68508690.0,12.038,0.981,6486492.80021,5587869.80021
515,515,601588,北辰实业,0.0,3.41,3.4,3.46,3.37,3.41,5965350.0,0.22426,20440641.0,10.029,0.867,1148153.82,907060.0
520,520,601555,东吴证券,0.451,6.68,6.64,6.83,6.52,6.65,10742087.0,0.37156999999999996,71977662.0,25.691999999999997,0.963,2004000.0,1931188.0
525,525,601398,工商银行,1.147,5.29,5.23,5.34,5.18,5.23,192544372.0,0.07142000000000001,1013399712.0,6.696000000000001,0.904,188538910.00008002,142624860.43313
538,538,601328,交通银行,0.0,5.76,5.76,5.79,5.67,5.76,49705276.0,0.12663000000000002,285793198.0,6.33,0.708,42775330.547520004,22608497.67264
542,542,601288,农业银行,0.893,3.39,3.34,3.41,3.32,3.36,297744985.0,0.10125,1002629795.0,5.845,0.7979999999999999,118644248.48295,99684744.633456
543,543,601258,庞大集团,2.825,1.82,1.79,1.84,1.78,1.77,40915037.0,0.6257600000000001,74086944.0,60.667,0.904,1214788.739164,1190003.069164
547,547,601229,上海银行,-1.765,15.03,15.24,15.25,14.88,15.3,10239685.0,0.27592,154688262.0,7.667999999999999,0.892,11732094.855,5577823.487214
551,551,601222,林洋能源,-2.096,4.67,4.73,4.81,4.55,4.77,32702747.0,1.86994,152875802.0,11.974,0.934,824446.173455,816721.526455
561,561,601186,中国铁建,0.7340000000000001,8.23,8.22,8.28,8.02,8.17,16397989.0,0.14255,134404835.0,7.095,0.805,11175962.6545,9467171.0465
562,562,601179,中国西电,0.3,3.34,3.33,3.38,3.27,3.33,5587900.0,0.10901,18626036.0,19.086,0.877,1712044.705568,1712044.705568
564,564,601169,北京银行,0.0,5.86,5.84,5.87,5.75,5.86,72603832.0,0.3978700000000001,422224682.0,5.9190000000000005,0.757,12389788.783392,10693334.341692
566,566,601166,兴业银行,0.285,14.09,13.99,14.2,13.87,14.05,35955700.0,0.18872000000000005,505094719.0,5.142,0.7140000000000001,29270834.768159002,26844742.482159
582,582,601107,四川成渝,-0.885,3.36,3.39,3.41,3.29,3.39,4776600.0,0.22086000000000006,16009655.0,11.565999999999999,0.7190000000000001,1027508.16,726680.64
584,584,601101,昊华能源,0.16899999999999998,5.91,5.89,6.06,5.75,5.9,7932865.0,0.6610699999999999,47008658.0,11.365,0.9129999999999999,709198.978752,709198.978752
612,612,601000,唐山港,2.174,2.35,2.3,2.37,2.26,2.3,41230743.0,0.7397199999999999,95811385.0,7.343999999999999,0.7190000000000001,1392593.22429,1309853.80906
615,615,600997,开滦股份,-0.20199999999999999,4.94,4.95,5.01,4.82,4.95,6141541.0,0.4974400000000001,30309228.0,14.97,0.8190000000000001,784373.1263939999,609912.16
627,627,600982,宁波热电,0.9840000000000001,3.08,3.05,3.11,3.0,3.05,2692050.0,0.36041999999999996,8257404.0,23.969,0.91,230054.44,230054.44
636,636,600971,恒源煤电,0.0,6.29,6.27,6.4,6.06,6.29,12376817.0,1.23768,77463677.0,5.718,0.877,629002.56003,629002.56003
638,638,600969,郴电国际,-0.493,6.06,6.11,6.14,5.95,6.09,2115013.0,0.57155,12844143.0,53.065,0.467,224250.593304,224250.593304
642,642,600963,岳阳林纸,0.0,4.93,4.95,5.0,4.83,4.93,8741689.0,0.838,43039066.0,17.607,0.86,689082.441964,514277.45996400004
652,652,600926,杭州银行,1.642,7.43,7.4,7.48,7.28,7.31,12410634.0,0.5962400000000001,91882335.0,5.992000000000001,0.623,3811738.9209760004,1546553.806781
653,653,600919,江苏银行,0.479,6.29,6.26,6.32,6.18,6.26,25268630.0,0.4205700000000001,158178762.0,6.107,0.767,7261459.05,3779174.401197
664,664,600894,广日股份,0.526,5.73,5.71,5.79,5.61,5.7,2409542.0,0.2802,13769623.0,12.368,0.72,492749.570835,492749.570835
677,677,600881,亚泰集团,0.27,3.71,3.69,3.77,3.67,3.7,14196685.0,0.44043,52823091.0,13.741,0.8180000000000001,1205346.9411479998,1195874.6010540002
682,682,600875,东方电气,0.0,7.06,7.05,7.18,6.82,7.06,11895952.0,0.59572,83782144.0,24.345,0.746,2182107.222286,1409811.659808
693,693,600864,哈投股份,1.835,4.44,4.36,4.47,4.25,4.36,6559611.0,0.41561,28644835.0,26.118000000000002,0.6980000000000001,936180.110328,700772.904732
696,696,600861,北京城乡,-2.16,6.34,6.48,6.55,6.24,6.48,3849907.0,1.21523,24734654.0,23.701,0.8540000000000001,200854.337666,200854.337666
714,714,600839,四川长虹,0.73,2.76,2.73,2.79,2.7,2.74,21351934.0,0.46273,58783088.0,35.751,0.981,1274083.405272,1273544.1918
716,716,600837,海通证券,0.9890000000000001,9.19,9.14,9.3,8.98,9.1,35361786.0,0.4369900000000001,323480914.0,12.253,0.888,10570062.3,7436668.55442
729,729,600823,XD世茂股,-0.773,3.85,3.9,3.91,3.82,3.88,9438964.0,0.25163,36527929.0,6.525,0.657,1444199.780485,1444199.780485
732,732,600820,隧道股份,0.172,5.82,5.79,5.87,5.66,5.81,14872180.0,0.4730200000000001,86008124.0,10.033999999999999,0.937,1829863.9267080002,1829863.9267080002
740,740,600811,东方集团,0.0,4.3,0.0,0.0,0.0,4.3,0.0,0.0,0.0,20.773000000000003,0.799,1597267.73332,1407593.5271700001
746,746,600805,悦达投资,1.016,4.97,4.92,5.02,4.8,4.92,2532540.0,0.29785,12521994.0,-15.061,0.6900000000000001,422894.563518,422586.85789600003
760,760,600790,轻纺城,-0.28600000000000003,3.49,3.49,3.53,3.38,3.5,8557280.0,0.5838,29620878.0,9.693999999999999,0.72,511561.033872,511561.033872
768,768,600780,通宝能源,2.5839999999999996,3.97,3.86,4.0,3.78,3.87,6481372.0,0.5653199999999999,25282584.0,55.602,0.929,455161.501631,455161.501631
788,788,600758,红阳能源,1.4780000000000002,4.12,4.06,4.18,3.93,4.06,5663800.0,0.83742,23102417.0,11.770999999999999,0.9690000000000001,548540.48122,278652.669572
797,797,600748,上实发展,-2.311,4.65,4.8,4.8,4.62,4.76,4054267.0,0.28786999999999996,19044808.0,9.894,0.8540000000000001,857721.7447800001,654897.692775
802,802,600743,华远地产,-0.41,2.43,2.45,2.46,2.37,2.44,6340254.0,0.27025000000000005,15352356.0,6.943,0.779,570102.512382,570102.512382
825,825,600720,祁连山,1.565,6.49,6.41,6.58,6.29,6.39,9739023.0,1.2547700000000002,62810974.0,8.767000000000001,0.971,503812.393018,503729.58386300004
828,828,600717,天津港,0.54,7.45,7.41,7.54,7.36,7.41,3697037.0,0.22075000000000006,27565221.0,15.204,0.79,1247702.9944,1247702.9944
836,836,600708,光明地产,-0.484,4.11,4.15,4.16,4.01,4.13,10574079.0,0.8225300000000001,43400925.0,3.619,0.6459999999999999,915969.7013729999,528364.0803029999
867,867,600676,交运股份,-0.207,4.83,4.84,4.89,4.76,4.84,2071117.0,0.21528000000000005,9998811.0,11.232999999999999,0.87,496762.09195200005,464667.896805
875,875,600665,天地源,-1.754,3.36,3.42,3.45,3.31,3.42,2468689.0,0.28569,8361027.0,11.429,0.927,290345.167056,290345.167056
881,881,600658,电子城,-0.196,5.1,5.09,5.11,4.95,5.11,1943374.0,0.17374,9821377.0,7.968999999999999,0.631,570478.37295,570478.37295
882,882,600657,信达地产,-0.7440000000000001,4.0,4.04,4.06,3.92,4.03,8028074.0,0.52669,32049145.0,6.061,0.627,609704.1768,609704.1768
889,889,600649,城投控股,2.116,5.79,5.77,5.86,5.63,5.67,10889630.0,0.44983999999999996,62666031.0,8.773,0.763,1464624.292086,1401638.696538
895,895,600642,申能股份,-1.006,4.92,4.97,4.99,4.86,4.97,7158266.0,0.15725,35295441.0,12.88,0.872,2239602.851472,2239602.851472
903,903,600634,*ST富控,-3.861,2.49,2.58,2.58,2.46,2.59,17277504.0,3.00096,43229117.0,31.125,0.7090000000000001,143357.288169,143357.288169
929,929,600603,广汇物流,0.787,3.84,3.82,3.9,3.74,3.81,2901256.0,0.5755800000000001,11076811.0,9.366,0.5700000000000001,472483.104768,193559.11257599998
937,937,600595,中孚实业,0.0,2.58,2.58,2.63,2.5,2.58,6464046.0,0.3711700000000001,16624091.0,-23.455,0.893,505995.80670600006,449317.423974
942,942,600589,广东榕泰,0.47100000000000003,4.27,4.25,4.31,4.15,4.25,2582300.0,0.39033,10984975.0,22.474,0.97,301165.589837,282493.00067800004
948,948,600583,海油工程,-0.198,5.05,5.04,5.12,4.96,5.06,9556049.0,0.21613,48252140.0,45.909,0.982,2232784.174,2232784.174
949,949,600582,天地科技,0.308,3.26,3.25,3.31,3.18,3.25,10502119.0,0.25376000000000004,34137680.0,14.298,0.898,1349179.978792,1349179.978792
950,950,600581,八一钢铁,0.665,4.54,4.43,4.67,4.41,4.51,56889534.0,3.71124,258887244.0,2.9789999999999996,0.9990000000000001,695935.63298,695935.63298
953,953,600578,京能电力,-1.278,3.09,3.13,3.16,3.04,3.13,4290538.0,0.08042,13303922.0,38.625,0.9229999999999999,2084740.9472130002,1648522.509627
965,965,600565,迪马股份,1.045,2.9,2.89,2.96,2.79,2.87,14146219.0,0.59787,40728591.0,10.357000000000001,0.925,701922.46236,686171.69236
968,968,600561,江西长运,1.9,5.9,5.8,5.9,5.61,5.79,1657625.0,0.69923,9637745.0,65.556,0.99,139867.76,139867.76
976,976,600551,时代出版,1.222,8.28,8.22,8.37,8.1,8.18,2946109.0,0.5824400000000001,24251344.0,13.950999999999999,0.871,418823.345088,418823.345088
990,990,600533,栖霞建设,-1.5530000000000002,3.17,3.22,3.27,3.15,3.22,6476254.0,0.6167900000000001,20684401.0,61.434,0.889,332850.0,332850.0
996,996,600527,江南高纤,0.0,2.41,2.4,2.46,2.32,2.41,5369253.0,0.4462700000000001,12857239.0,26.778000000000002,0.927,347795.314485,289955.314485
1009,1009,600512,腾达建设,0.9259999999999999,2.18,2.16,2.22,2.11,2.16,12936851.0,0.8414800000000001,28000641.0,24.221999999999998,0.76,348560.81737600005,335153.07246999996
1011,1011,600510,黑牡丹,0.516,5.84,5.82,5.88,5.76,5.81,535179.0,0.06727000000000001,3115803.0,12.425999999999998,0.802,611503.4946,464585.2568
1012,1012,600509,天富能源,0.23,4.35,4.34,4.41,4.26,4.34,2113300.0,0.23333,9182247.0,22.895,0.7609999999999999,500865.532395,393978.01490999997
1013,1013,600508,上海能源,-0.196,10.2,10.2,10.26,9.95,10.22,3464797.0,0.4794100000000001,35102463.0,14.167,0.789,737172.36,737172.36
1018,1018,600502,安徽水利,-1.031,3.84,3.86,3.91,3.73,3.88,9547038.0,1.0482799999999999,36544975.0,6.4,0.8740000000000001,660925.5444479999,349720.328832
1043,1043,600470,六国化工,0.56,3.59,3.56,3.62,3.43,3.57,2722924.0,0.52203,9698980.0,25.643,0.9129999999999999,187254.4,187254.4
1057,1057,600449,宁夏建材,1.355,7.48,7.4,7.57,7.35,7.38,3421600.0,0.7155400000000001,25579915.0,10.535,0.804,357679.41941599996,357679.41941599996
1068,1068,600428,中远海特,0.581,3.46,3.43,3.49,3.36,3.44,6779028.0,0.40102,23294903.0,31.171,0.789,742741.166766,584894.451978
1070,1070,600425,青松建化,-0.73,2.72,2.73,2.77,2.62,2.74,9471339.0,0.68693,25693050.0,68.0,0.9620000000000001,375030.903392,375030.903392
1076,1076,600418,江淮汽车,-1.454,6.1,6.24,6.27,6.04,6.19,6897658.0,0.36432,42503101.0,26.522,0.8200000000000001,1154920.39137,1154920.39137
1095,1095,600390,五矿资本,0.134,7.45,7.42,7.5,7.3,7.44,4133530.0,0.80491,30682739.0,10.493,0.8759999999999999,2792548.9720900003,382585.62226
1102,1102,600382,广东明珠,1.17,10.38,10.2,10.72,10.15,10.26,1392702.0,0.4075200000000001,14515139.0,14.62,0.935,484564.08219600003,354732.9708
1108,1108,600376,首开股份,0.634,6.35,6.33,6.43,6.24,6.31,5212948.0,0.20477,33014434.0,8.69,0.748,1638023.92867,1616589.32968
1115,1115,600368,五洲交通,0.98,3.09,3.06,3.12,3.02,3.06,3190985.0,0.28348,9812667.0,7.007000000000001,0.7509999999999999,347820.309012,347820.309012
1117,1117,600366,宁波韵升,0.175,5.74,5.71,5.84,5.55,5.73,5586118.0,0.56528,32000285.0,7.412999999999999,0.6859999999999999,575449.4447100001,567225.202558
1121,1121,600361,华联综超,0.5,4.02,4.0,4.07,3.93,4.0,2587852.0,0.38868,10381987.0,33.5,0.9790000000000001,267654.78303600004,267654.78303600004
1125,1125,600356,恒丰纸业,-0.6579999999999999,6.04,6.07,6.11,5.91,6.08,1419863.0,0.4753,8555880.0,18.303,0.863,180433.752312,180433.752312
1131,1131,600350,山东高速,-1.01,3.92,3.96,3.98,3.86,3.96,8151607.0,0.16943000000000005,32021832.0,7.127000000000001,0.6960000000000001,1885977.0159439999,1885977.0159439999
1132,1132,600348,阳泉煤业,0.792,6.36,6.32,6.51,6.17,6.31,18219600.0,0.7575700000000001,115312332.0,9.353,0.976,1529580.0,1529580.0
1137,1137,600339,中油工程,-0.737,4.04,4.0,4.12,3.94,4.07,13950019.0,0.8987400000000001,56153088.0,33.169000000000004,0.993,2255591.578284,627080.987448
1148,1148,600327,大东方,-0.42200000000000004,4.72,4.75,4.77,4.55,4.74,3504016.0,0.4752400000000001,16381561.0,10.238999999999999,0.9229999999999999,348013.27708,348013.27708
1153,1153,600321,*ST正源,-2.247,1.74,1.77,1.8,1.71,1.78,4996200.0,0.33075000000000004,8768260.0,-580.0,0.988,262835.7,262835.7
1161,1161,600312,平高电气,0.768,5.25,5.22,5.3,5.08,5.21,6645355.0,0.4897400000000001,34582263.0,11.298,0.8079999999999999,712383.687225,712383.687225
1165,1165,600308,华泰股份,2.8569999999999998,4.68,4.54,4.8,4.38,4.55,20141725.0,1.72511,92937810.0,8.111,0.747,546418.744092,546418.744092
1178,1178,600292,远达环保,2.977,5.88,5.72,5.89,5.62,5.71,3426580.0,0.43885,19779402.0,42.0,0.937,459120.33132,459120.33132
1185,1185,600284,浦东建设,0.0,4.67,4.68,4.73,4.58,4.67,2926658.0,0.30164,13678033.0,8.716000000000001,0.591,453109.552,453109.552
1190,1190,600279,重庆港九,-0.703,4.24,4.36,4.36,4.12,4.27,2579287.0,0.37221,10991943.0,6.057,0.799,293814.434528,293814.434528
1191,1191,600278,东方创业,-0.131,7.61,7.61,7.75,7.43,7.62,2109300.0,0.40389,16072405.0,23.061,0.977,397425.963379,397425.963379
1192,1192,600277,亿利洁能,0.195,5.13,5.09,5.21,5.01,5.12,10099563.0,0.37769,51660179.0,25.65,0.968,1405076.2964370002,1371764.608605
1199,1199,600269,赣粤高速,0.25,4.01,4.01,4.04,3.96,4.0,5554606.0,0.23784,22259453.0,9.548,0.638,936498.212614,936498.212614
1202,1202,600266,北京城建,-0.91,8.71,8.8,8.84,8.57,8.79,5814583.0,0.3710600000000001,50668468.0,9.366,0.7070000000000001,1364891.84,1364891.84
