,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-1.576,5.62,5.72,5.76,5.46,5.71,3500340.0,1.51924,19722129.0,42.901,1.911,323712.0,129484.8
1,603998,方盛制药,-1.976,7.44,7.57,7.76,7.11,7.59,3631321.0,0.8540300000000001,26938524.0,53.143,3.181,320616.73368,316346.35968
2,603997,继峰股份,0.0,10.87,0.0,0.0,0.0,10.87,0.0,0.0,0.0,23.63,3.8369999999999997,693200.7704,684810.0
3,603996,中新科技,3.166,11.08,10.84,11.61,10.64,10.74,23973072.0,23.21285,264904966.0,22.612,2.203,332566.2,114428.7
4,603993,洛阳钼业,0.713,5.65,5.59,5.74,5.43,5.61,93705607.0,0.7233900000000001,527579724.0,40.357,3.136,12203570.929395,7318857.844935
5,603991,至正股份,0.517,21.37,21.46,21.66,20.8,21.26,374892.0,0.91261,8001509.0,39.574,3.403,159281.290726,87785.647766
6,603990,麦迪科技,0.303,33.14,32.99,33.43,32.71,33.04,216289.0,0.35885,7163938.0,51.781,6.253,268177.4964,199741.408
7,603989,艾华集团,0.204,19.6,19.35,20.3,19.35,19.56,2460974.0,0.63102,49327070.0,20.206,2.865,764400.0,764400.0
8,603988,中电电机,-0.944,13.64,13.58,14.18,13.17,13.77,3695507.0,2.19971,50887803.0,48.714,2.43,229152.0,229152.0
9,603987,康德莱,1.113,9.99,9.82,10.08,9.8,9.88,956342.0,0.50315,9502124.0,26.289,2.511,315119.565,189881.37855
10,603986,兆易创新,0.809,103.38,102.07,108.9,102.07,102.55,8782563.0,4.23466,927359680.0,51.95,12.248,2933424.330264,2144072.036502
11,603985,恒润股份,-0.103,19.37,19.35,19.67,19.03,19.39,329776.0,0.49546000000000007,6389465.0,15.306,1.502,201448.0,128926.72
12,603980,吉华集团,-0.999,14.86,15.01,15.28,14.51,15.01,2632300.0,1.07164,39472946.0,16.829,1.816,743000.0,365010.768768
13,603979,金诚信,1.546,8.54,8.35,8.63,8.35,8.41,2377055.0,0.76058,20258918.0,24.4,1.287,499590.0,266900.49617
14,603978,深圳新星,0.405,32.24,31.75,33.2,30.6,32.11,1770584.0,4.4264600000000005,56875675.0,20.535,1.907,515840.0,128960.0
